external_provenance_link_id,external_evidence_id,EnsemblID,publication_id,PMID,PMCID,DOI,source_location,dataset_or_cohort,model_system,raw_payload_path,raw_payload_sha256,source_entity,identifier_reconciliation,provenance_status
EXTPROV_28B36E9243C066C503FF,EXT_31024988_01,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 1; Results: MMP11 Is Significantly Upregulated,GSE7670|GSE10072|GSE68465|GSE43458,Human tumour transcriptomes,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_8D033A52AFD06C2965EA,EXT_31024988_02,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 2A,TCGA-LUAD,Human tumour transcriptomes,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_3C2013099C8226B68802,EXT_31024988_03,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 2B,COHORT_2019_LUAD_18,18 human LUAD biopsies,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_BDB97DF88AD94FB8FDA0,EXT_31024988_04,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 2C,COHORT_2019_SERUM,Human serum,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_9A34A8405B23EB0BFCB7,EXT_31024988_05,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 2D-F,MODEL_A549_CRISPR,A549 LUAD cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_206FC55B911298859DC0,EXT_31024988_06,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 2G,MODEL_A549_CRISPR,A549 LUAD cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_28E66B860D8086A4BCD8,EXT_31024988_07,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 3,MODEL_PC9_RESCUE,PC9 LUAD cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_F54CBF4A160C71E2C755,EXT_31024988_08,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 5,MODEL_LUAD_MIGRATION,A549 and PC9 LUAD cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_73FCD68A38916EF78BDB,EXT_31024988_09,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 4,MODEL_ANTIBODY_IN_VITRO,A549 and PC9 LUAD cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_25F7FDAB7774C4F0EA92,EXT_31024988_10,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 6,MODEL_ANTIBODY_MIGRATION,A549 and PC9 LUAD cells,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_AFA81EA77EEF535A2EFC,EXT_31024988_11,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 7A,MODEL_A549_XENOGRAFT_KO,A549 xenograft in female BALB/c nude mice,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_BACD4833DE52522CBD80,EXT_31024988_12,ENSG00000099953.9,PUB_PMID_31024988,31024988,PMC6477516,10.1016/j.omto.2019.03.012,Figure 7B,MODEL_A549_XENOGRAFT_AB,A549 xenograft in female BALB/c nude mice,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:31024988,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_4B319E75536E457DB8AC,EXT_36756152_01,ENSG00000099953.9,PUB_PMID_36756152,36756152,PMC9900007,10.3389/fonc.2023.1055122,Results/Figure 1,TCGA-LUAD,TCGA-LUAD,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:36756152,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_B6C0F101A282E1E4AA31,EXT_36756152_02,ENSG00000099953.9,PUB_PMID_36756152,36756152,PMC9900007,10.3389/fonc.2023.1055122,Results/Figure 1F,TCGA-LUAD,TCGA-LUAD EGFR-mutant subset,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:36756152,COMPLETE_PRIMARY_SOURCE_TRACE
